project_name,author,github_url,github_stars,github_forks,tashan_score,practicality_score,sustainability_score,popularity_score,tools_available_tashan,lobehub_url,lobehub_description,lobehub_rating,tools_available,project_type,deployment_methods,api_requirements,use_cases,hidden_gem_score,recommendation_type
@hyperweb/mcp-server,hyperweb-io,https://github.com/hyperweb-io/mcp,0,0,74.54,92.5,38,57.18,8,https://lobehub.com/mcp/hyperweb-io-mcp,Model Context Protocol（模型上下文协议）服务器，旨在帮助Hyperweb平台工具与AI代理的集成。可以通过npx运行，无需安装。,优质,6,"[""Integrating AI agents with Hyperweb platform tools"", ""Enhancing development workflow with MCP in IDEs like Cursor and Claude Desktop"", ""Generating, verifying, and setting up Starship configurations"", ""Facilitating Interchain JavaScript development through integrated tooling""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""dependencies"": [], ""note"": ""No API key is required for this implementation.""}","[""Integrating AI agents with Hyperweb platform tools"", ""Enhancing development workflow with MCP in IDEs like Cursor and Claude Desktop"", ""Generating, verifying, and setting up Starship configurations"", ""Facilitating Interchain JavaScript development through integrated tooling""]",62.7,B级-高质量冷门
Hacker News MCP 服务器,devabdultech,https://github.com/devabdultech/hn-mcp,10,3,74.54,92.5,38,57.18,9,https://lobehub.com/mcp/devabdultech-hn-mcp,用于访问 Hacker News API 的 MCP 服务器。通过模型上下文协议（Model Context Protocol）提供对故事、评论、用户资料和搜索功能的访问。,优质,19,"[""Search Hacker News stories and comments"", ""Get stories by type (top, new, best, ask, show, job)"", ""Retrieve detailed story information with comments"", ""Explore user profiles and their Hacker News activity"", ""Access Hacker News data in real-time""]","[""Claude Desktop""]","""Does not require an API key. Uses Hacker News API and Algolia HN Search API directly without additional API key requirements.""","[""Search Hacker News stories and comments"", ""Get stories by type (top, new, best, ask, show, job)"", ""Retrieve detailed story information with comments"", ""Explore user profiles and their Hacker News activity"", ""Access Hacker News data in real-time""]",62.7,B级-高质量冷门
SVN MCP 服务器,gcorroto,https://github.com/gcorroto/mcp-svn,1,2,74.54,92.5,38,57.18,14,https://lobehub.com/mcp/gcorroto-mcp-svn,完整的 MCP 服务器，支持与 Subversion (SVN) 集成，帮助 AI 代理高效管理 SVN 仓库。需要在系统路径中安装并配置 Subversion (SVN)，可通过环境变量 SVN_PATH 进行设置。,优质,24,"[""Gestión de repositorios SVN desde herramientas de IA"", ""Automatización de operaciones de control de versiones"", ""Integración con sistemas de análisis de código"", ""Soporte para flujos de trabajo de desarrollo colaborativo"", ""Auditoría y seguimiento de cambios en repositorios SVN""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""notes"": ""El servidor utiliza credenciales de SVN directamente mediante variables de entorno, no requiere claves API externas.""}","[""Gestión de repositorios SVN desde herramientas de IA"", ""Automatización de operaciones de control de versiones"", ""Integración con sistemas de análisis de código"", ""Soporte para flujos de trabajo de desarrollo colaborativo"", ""Auditoría y seguimiento de cambios en repositorios SVN""]",62.7,B级-高质量冷门
Date-time Tools MCP,Abhishek Mehandiratta,https://github.com/abhi12299/date-time-tools,0,1,70.14,87.5,31,57.18,3,https://lobehub.com/mcp/abhi12299-date-time-tools,一个用于日期时间操作和时区转换的模型上下文协议（MCP）服务器。,良好,12,"[""Timezone conversion for global applications"", ""Date and time arithmetic in agent workflows"", ""Fetching system current date-time and timezone information""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""No API key is required for this MCP tool as it runs locally and does not depend on external APIs.""","[""Timezone conversion for global applications"", ""Date and time arithmetic in agent workflows"", ""Fetching system current date-time and timezone information""]",62.6,B级-高质量冷门
IzmirMCP,halilcengel,https://github.com/halilcengel/IzmirMCP,2,0,73.94,92.5,35,57.18,17,https://lobehub.com/mcp/halilcengel-izmirmcp,基于TypeScript的MCP服务器，用于实时İZBAN和ESHOT数据：车辆位置、到站信息和时刻表。,优质,51,"[""Claude gibi yapay zeka modellerine İzmir toplu taşıma verilerinin entegrasyonu"", ""Gerçek zamanlı otobüs ve tren takibi"", ""Ulaşım ücretleri ve sefer sıklıklarının sorgulanması"", ""Konuma dayalı ulaşım duraklarının bulunması"", ""Toplu taşıma sistemleri için analitik raporlama ve görselleştirme""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""notes"": ""API anahtarı gerekmiyor. Veriler doğrudan kamu ulaşım sağlayıcılarından alınmaktadır.""}","[""Claude gibi yapay zeka modellerine İzmir toplu taşıma verilerinin entegrasyonu"", ""Gerçek zamanlı otobüs ve tren takibi"", ""Ulaşım ücretleri ve sefer sıklıklarının sorgulanması"", ""Konuma dayalı ulaşım duraklarının bulunması"", ""Toplu taşıma sistemleri için analitik raporlama ve görselleştirme""]",62.4,B级-高质量冷门
Cursor 与 Figma 的 MCP 通信,ysocrius,https://github.com/ysocrius/Talk-to-Figma-Cursor,0,0,73.94,92.5,35,57.18,38,https://lobehub.com/mcp/ysocrius-talk-to-figma-cursor,一种模型上下文协议（MCP）集成，允许 Cursor AI 与 Figma 进行通信，以便以编程方式读取和修改设计。需要在系统中安装 Node.js 以通过 npx 运行 MCP 服务器。,优质,6,"[""通过Cursor AI读取Figma文档信息"", ""通过Cursor AI获取当前选中的设计元素信息"", ""通过Cursor AI创建矩形、文本等设计元素"", ""通过Cursor AI修改设计属性（如颜色、样式、布局）"", ""通过Cursor AI管理组件实例和覆盖"", ""通过Cursor AI创建注释和导出图像""]","[""Cursor"", ""Cline"", ""Studio""]","""无需API密钥。依赖Node.js环境及npm/npx支持。""","[""通过Cursor AI读取Figma文档信息"", ""通过Cursor AI获取当前选中的设计元素信息"", ""通过Cursor AI创建矩形、文本等设计元素"", ""通过Cursor AI修改设计属性（如颜色、样式、布局）"", ""通过Cursor AI管理组件实例和覆盖"", ""通过Cursor AI创建注释和导出图像""]",62.4,B级-高质量冷门
Memory Bank MCP,hoppo-chan,https://github.com/MCP-Mirror/hoppo-chan_memory-bank-mcp,0,0,73.94,92.5,35,57.18,3,https://lobehub.com/mcp/hoppo-chan-memory-bank-mcp,一个引导式的 Memory Bank MCP 插件，支持基于人工智能的开发，具有持久的项目上下文。提供结构化的 Markdown 文件，用于维护项目目标、决策、进展和模式，通过引导指令实现管理。,优质,6,"[""新项目初始化时创建标准化的Memory Bank结构"", ""AI助手在会话开始时获取项目上下文信息"", ""架构变更时更新相关文档并记录变更历史"", ""功能开发完成后更新进度和决策日志"", ""跨平台开发时自动处理不同系统的路径差异"", ""团队协作中保持统一的项目状态认知""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""dependencies"": [""Model Context Protocol (MCP)"", ""Node.js运行环境""], ""installation_instructions"": ""使用npm安装：npm install @neko0721/memory-bank-mcp""}","[""新项目初始化时创建标准化的Memory Bank结构"", ""AI助手在会话开始时获取项目上下文信息"", ""架构变更时更新相关文档并记录变更历史"", ""功能开发完成后更新进度和决策日志"", ""跨平台开发时自动处理不同系统的路径差异"", ""团队协作中保持统一的项目状态认知""]",62.4,B级-高质量冷门
VSCode MCP,MCP-Mirror,https://github.com/MCP-Mirror/block_vscode-mcp,0,0,73.94,92.5,35,57.18,9,https://lobehub.com/mcp/mcp-mirror-block_vscode-mcp,VSCode MCP 服务器使 AI 代理和助手能够通过模型上下文协议（Model Context Protocol）与 VSCode 进行交互。该服务器可以通过 npx 安装并运行。无需明确依赖外部数据文件。,优质,12,"[""AI代理与VS Code之间的集成以进行代码操作"", ""通过Model Context Protocol实现智能代码建议和修改"", ""自动化项目设置和文件管理任务""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""不需要API密钥。""","[""AI代理与VS Code之间的集成以进行代码操作"", ""通过Model Context Protocol实现智能代码建议和修改"", ""自动化项目设置和文件管理任务""]",62.4,B级-高质量冷门
@dealx/mcp-server,dealexpress,https://github.com/DealExpress/mcp-server,0,1,73.94,92.5,35,57.18,1,https://lobehub.com/mcp/dealexpress-mcp-server,Model Context Protocol (MCP) 服务器，用于 DealX 平台，允许大型语言模型（LLMs）搜索广告。需要配置环境变量 DEALX_API_URL 以设置 API 端点。,优质,6,"[""通过自然语言指令搜索 DealX 上的广告信息"", ""获取特定商品的最新广告列表"", ""为 LLM 提供 DealX 平台的结构化数据访问能力"", ""作为 MCP 工具集成到 Claude、Cline、Cursor 等 LLM 工具链中""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""dependencies"": [], ""environment_variables"": {""DEALX_API_URL"": ""DealX 平台的 API 地址（默认为 https://dealx.com.ua）"", ""MCP_SERVER_PORT"": ""MCP 服务器监听端口（可选，默认为 3100）"", ""LOG_LEVEL"": ""日志级别（可选：debug, info, warn, error）""}}","[""通过自然语言指令搜索 DealX 上的广告信息"", ""获取特定商品的最新广告列表"", ""为 LLM 提供 DealX 平台的结构化数据访问能力"", ""作为 MCP 工具集成到 Claude、Cline、Cursor 等 LLM 工具链中""]",62.4,B级-高质量冷门
WebDriverIO MCP 服务器,Winify,https://github.com/Winify/webdriverio-mcp,4,0,73.94,92.5,35,57.18,13,https://lobehub.com/mcp/winify-webdriverio-mcp,一个模型上下文协议（MCP）服务器，允许Claude Desktop通过WebDriverIO进行网页自动化任务，例如点击元素、填写表单、截图等。,优质,26,"[""Basic Web Testing"", ""Browser Automation"", ""Form Filling"", ""Web Scraping"", ""UI Validation"", ""Screenshot Capture""]","[""Claude Desktop""]","{""required_apis"": [], ""dependencies"": [""Node.js (version 18 or higher)"", ""Chrome browser""]}","[""Basic Web Testing"", ""Browser Automation"", ""Form Filling"", ""Web Scraping"", ""UI Validation"", ""Screenshot Capture""]",62.4,B级-高质量冷门
Cucumber Studio MCP 服务器,HeroSizy,https://github.com/HeroSizy/cucumberstudio-mcp,1,0,73.74,92.5,34,57.18,1,https://lobehub.com/mcp/herosizy-cucumberstudio-mcp,提供对 Cucumber Studio 测试平台的 LLM 访问的 MCP 服务器。需要通过环境变量设置 Cucumber Studio API 凭据：CUCUMBERSTUDIO_ACCESS_TOKEN、CUCUMBERSTUDIO_CLIENT_ID 和 CUCUMBERSTUDIO_UID。,优质,8,"[""AI助手集成以访问Cucumber Studio测试数据"", ""自动化测试场景检索与分析"", ""测试执行状态监控"", ""项目管理和协作"", ""开发环境中的热重载调试""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_credentials"": [""CUCUMBERSTUDIO_ACCESS_TOKEN"", ""CUCUMBERSTUDIO_CLIENT_ID"", ""CUCUMBERSTUDIO_UID""], ""optional_parameters"": [""CUCUMBERSTUDIO_BASE_URL"", ""MCP_TRANSPORT"", ""MCP_PORT"", ""MCP_HOST"", ""MCP_CORS_ORIGIN""], ""logging_parameters"": [""LOG_LEVEL"", ""LOG_API_RESPONSES"", ""LOG_REQUEST_BODIES"", ""LOG_RESPONSE_BODIES"", ""LOG_TRANSPORT"", ""LOG_FILE""]}","[""AI助手集成以访问Cucumber Studio测试数据"", ""自动化测试场景检索与分析"", ""测试执行状态监控"", ""项目管理和协作"", ""开发环境中的热重载调试""]",62.2,B级-高质量冷门
@just-every/mcp-read-website-fast,just-every,https://github.com/just-every/mcp-read-website-fast,7,2,76.54,82.5,78,57.18,1,https://lobehub.com/mcp/just-every-mcp-read-website-fast,快速、高效的网页内容提取工具，专为AI代理设计——将网站转换为干净的Markdown格式。无需外部数据文件。,优质,4,"[""Web content extraction for AI agents"", ""Converting websites to clean Markdown"", ""Knowledge graph construction with link preservation"", ""Token-efficient LLM pipeline preprocessing"", ""Local site crawling with minimal dependencies""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""No API keys required""","[""Web content extraction for AI agents"", ""Converting websites to clean Markdown"", ""Knowledge graph construction with link preservation"", ""Token-efficient LLM pipeline preprocessing"", ""Local site crawling with minimal dependencies""]",61.9,B级-高质量冷门
即梦AI多模态MCP,freeleepm,https://github.com/freeleepm/jimeng-ai-mcp,8,0,73.14,92.5,31,57.18,4,https://lobehub.com/mcp/freeleepm-jimeng-ai-mcp,基于火山引擎极盟AI的多模态生成服务，支持图像生成、视频生成以及图像转视频。需要环境变量 JIMENG_ACCESS_KEY 和 JIMENG_SECRET_KEY 作为访问凭证。,优质,17,"[""文生图（文本生成图像）"", ""文生视频（文本生成视频）"", ""图生视频（静态图像生成动态视频）"", ""异步任务处理和状态追踪"", ""多平台支持（macOS、Linux、Windows及WSL）""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""需要火山引擎即梦AI的访问密钥和密钥，通过环境变量 JIMENG_ACCESS_KEY 和 JIMENG_SECRET_KEY 设置。""","[""文生图（文本生成图像）"", ""文生视频（文本生成视频）"", ""图生视频（静态图像生成动态视频）"", ""异步任务处理和状态追踪"", ""多平台支持（macOS、Linux、Windows及WSL）""]",61.9,B级-高质量冷门
VWO 功能管理与实验（FME）MCP 服务器,wingify,https://github.com/wingify/vwo-fme-mcp,3,0,73.14,92.5,31,57.18,18,https://lobehub.com/mcp/wingify-vwo-fme-mcp,VWO MCP 服务器（用于 FME）使开发者能够在其 AI 编码环境中管理功能开关（Feature Flags）。需要两个必需的环境变量：VWO_ACCOUNT_ID 和 VWO_API_KEY，用于与 VWO 功能管理系统进行身份验证。,优质,23,"[""Managing feature flags directly from AI coding assistants"", ""Creating, updating, listing, and deleting feature flags without switching tools"", ""Setting up Cursor rules for contextual feature flag delivery"", ""Controlling features across multiple environments"", ""Integrating feature flag configurations into development workflows""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_env_vars"": {""VWO_ACCOUNT_ID"": ""Your VWO Account ID"", ""VWO_API_KEY"": ""Your VWO API Key (Developers Token) for interacting with RESTful APIs""}, ""authentication_method"": ""Environment variables containing VWO credentials""}","[""Managing feature flags directly from AI coding assistants"", ""Creating, updating, listing, and deleting feature flags without switching tools"", ""Setting up Cursor rules for contextual feature flag delivery"", ""Controlling features across multiple environments"", ""Integrating feature flag configurations into development workflows""]",61.9,B级-高质量冷门
Meta Mind MCP 服务器,snapspecter,https://github.com/snapspecter/mcp-meta-mind,0,0,73.14,92.5,31,57.18,18,https://lobehub.com/mcp/snapspecter-mcp-meta-mind,Meta Mind MCP Server 是一款先进的模型上下文协议（Model Context Protocol）服务器，支持智能任务管理、工作流编排和自动归档，具有层级结构和代理专业化功能。需要在 ~/.meta_mind/mcp_task_manager_data 目录下存放持久化的 SQLite 数据库。,优质,36,"[""AI代理的复杂任务分解与管理"", ""多项目并发执行与资源协调"", ""任务进度实时监控与可视化"", ""自动化归档与知识持久化存储"", ""任务完成后的总结生成与文档记录"", ""跨项目依赖管理与上下文切换""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""无需API密钥。需要兼容的MCP客户端（如Claude Desktop, KiloCode, RooCode等）。""","[""AI代理的复杂任务分解与管理"", ""多项目并发执行与资源协调"", ""任务进度实时监控与可视化"", ""自动化归档与知识持久化存储"", ""任务完成后的总结生成与文档记录"", ""跨项目依赖管理与上下文切换""]",61.9,B级-高质量冷门
mcp-devcontainers,crunchloop,https://github.com/crunchloop/mcp-devcontainers,2,4,72.94,92.5,30,57.18,3,https://lobehub.com/mcp/crunchloop-mcp-devcontainers,MCP 服务器，提供与 devcontainers CLI 的集成。需要在您的系统上安装并运行 Docker。,优质,27,"[""在开发环境中快速启动和配置 devcontainer 容器"", ""自动化执行 devcontainer 初始化后的用户命令"", ""在 devcontainer 内部执行任意 shell 命令以支持定制化开发流程""]","[""Claude Desktop"", ""Studio""]","{""api_keys"": [], ""dependencies"": [""Docker 必须安装并在系统上运行""]}","[""在开发环境中快速启动和配置 devcontainer 容器"", ""自动化执行 devcontainer 初始化后的用户命令"", ""在 devcontainer 内部执行任意 shell 命令以支持定制化开发流程""]",61.8,B级-高质量冷门
MultiversX MCP 服务器,multiversx,https://github.com/multiversx/mx-mcp,0,1,72.94,92.5,30,57.18,14,https://lobehub.com/mcp/multiversx-mx-mcp,一个用于MultiversX区块链的MCP（Model Context Protocol）服务器，提供钱包创建、余额查询、代币发送和发行等功能。需要通过环境变量MVX_WALLET配置PEM钱包文件路径。,优质,12,"[""区块链开发者快速创建和管理 MultiversX 钱包"", ""在 Claude、Cursor 等支持 MCP 的编辑器中直接调用 MultiversX 功能"", ""构建基于 MultiversX 的智能合约交互应用原型"", ""进行自动化测试时快速生成测试账户和发送交易"", ""教育用途：帮助学生理解钱包操作和链上交互流程""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""Studio""]","{""api_keys_required"": false, ""dependencies"": [""@multiversx/sdk-core"", ""@multiversx/sdk-wallet"", ""express"", ""ws""]}","[""区块链开发者快速创建和管理 MultiversX 钱包"", ""在 Claude、Cursor 等支持 MCP 的编辑器中直接调用 MultiversX 功能"", ""构建基于 MultiversX 的智能合约交互应用原型"", ""进行自动化测试时快速生成测试账户和发送交易"", ""教育用途：帮助学生理解钱包操作和链上交互流程""]",61.8,B级-高质量冷门
